review,rating,date,bank,source
best company ever,5,2025-06-07,Chase,Google Play Store
Excellent,5,2025-06-07,Chase,Google Play Store
For the most part it's all right and does what I need. using zelle has been a nightmare. I've gone through at least six different people to try and get it to pay someone. I gave up and will change to a different form of payment. I will still use the app to deposit checks,3,2025-06-07,Chase,Google Play Store
097096 8a,1,2025-06-07,Chase,Google Play Store
makes paying my Amazon card and easy and quick. love the app,5,2025-06-07,Chase,Google Play Store
good app,5,2025-06-07,Chase,Google Play Store
I GIVE THESE FOOLS MY MONEY AND THEY GIVE ME BACK A PIECE OF PLASTIC. WHAT THE HECK Y'ALL ??,5,2025-06-07,Chase,Google Play Store
chase is really a great company great credit card.,5,2025-06-07,Chase,Google Play Store
"Easy to use, text alerts are within seconds, easy to set up auto pay!",5,2025-06-07,Chase,Google Play Store
worst bank and app ever.,1,2025-06-07,Chase,Google Play Store
I love this card!!,5,2025-06-07,Chase,Google Play Store
easy to use and very convenient.,5,2025-06-06,Chase,Google Play Store
why does it take a long time after I unlock for it to work!!!,1,2025-06-06,Chase,Google Play Store
love my Chase Card. comes in handy when i need credit.,5,2025-06-06,Chase,Google Play Store
love this card - love the rewards!!,5,2025-06-06,Chase,Google Play Store
awesome people,5,2025-06-06,Chase,Google Play Store
this app promised money to download again nothing but spam and a fishing app,1,2025-06-06,Chase,Google Play Store
very good credit card,5,2025-06-06,Chase,Google Play Store
app is good.. Amazon credit card can wreck your credit score though. So be careful. I missed one payment in 8 years and dropped 70 points.,5,2025-06-06,Chase,Google Play Store
"Good app, easy to navigate.",5,2025-06-06,Chase,Google Play Store
"love the app. However, it's not currently loading. I just want to make sure I know my balance before shopping. Pretty sure it's the app because the site works perfectly. So glad it does because I had to pay the rest of my rent. I did get my password reset. I was having difficulty with it. apparently it reset without confirmation only and error but it worked.",4,2025-06-06,Chase,Google Play Store
"I want to send money to investment account and they call me to verify then told me to invest with Chase, Then I said no then they declined my transaction !!!!",1,2025-06-06,Chase,Google Play Store
Great app but it needs to be a little simple to use for the average person.,5,2025-06-06,Chase,Google Play Store
No MFA. That's pretty substantial (and substandard) for a financial app.,3,2025-06-06,Chase,Google Play Store
"I guess texting for two step verification is just too good? too easy? I have to do a phone call to receive a code, bad enough, but thing is I'm not receiving the call, I'm getting voicemails telling me to answer but nothing in my call history and I have no numbers blocked on my phone, even if my phone detects spam it still rings and says spam.",1,2025-06-06,Chase,Google Play Store
"Works well, no problems.",5,2025-06-06,Chase,Google Play Store
excellent service and very professional and secure!,5,2025-06-06,Chase,Google Play Store
continuing issues with Android,2,2025-06-06,Chase,Google Play Store
good,5,2025-06-06,Chase,Google Play Store
"I have tried unsuccessfully twice to use this app. It will not accept my preferred password. I understand security, but it is my choice, not theirs, to set my own password.",1,2025-06-06,Chase,Google Play Store
Great sight. Does what is supposed to do.,5,2025-06-06,Chase,Google Play Store
You make a payment and it takes forever to process and post. Stupid and intentional way to mess up your finances.,3,2025-06-06,Chase,Google Play Store
"Great app, easy to use",5,2025-06-06,Chase,Google Play Store
amazing...,5,2025-06-06,Chase,Google Play Store
fantastic,5,2025-06-06,Chase,Google Play Store
they are a very easy company to deal with and have excellent customer service,5,2025-06-06,Chase,Google Play Store
I love it. I've been a Chase Bank member for 4 years and I'm a happy customer!,5,2025-06-06,Chase,Google Play Store
excellent app and service,5,2025-06-06,Chase,Google Play Store
Very good,5,2025-06-06,Chase,Google Play Store
I love this card!,5,2025-06-06,Chase,Google Play Store
